participant,scene,link,scheme,gc_source,window_samples_n,invalid_all_n,negative_n,missing_latency_n,over_10000_n,gc_window_all_n,invalid_gc_overlap_n,gc_valid_excluded_n,invalid_excluded_after_gc_n,retained_pct,valid_n,median_ms,mean_ms,p95_ms,p99_ms,max_ms,gt50_n,gt50_pct,max_gap_ms,nominal_rate_hz
P3,supermarket,MoCap→PC,GC_retained,cross_link_heuristic,27001,0,0,0,0,1037,0,0,0,100.0000000000,27001,8.2100000000,10.2017647495,9.9500000000,109.9100000000,262.4200000000,392,1.4517980816,268.0000000000,90.0033333333
P3,supermarket,MoCap→VR,GC_filtered,cross_link_heuristic,26988,0,0,0,0,0,0,0,0,100.0000000000,26988,11.5800000000,13.1686916407,22.6000000000,38.3126000000,167.8800000000,123,0.4557581147,101.0000000000,89.9600000000
P3,supermarket,MoCap→VR,GC_retained,cross_link_heuristic,26988,0,0,0,0,0,0,0,0,100.0000000000,26988,11.5800000000,13.1686916407,22.6000000000,38.3126000000,167.8800000000,123,0.4557581147,101.0000000000,89.9600000000
P3,supermarket,PC<->VR 状态同步,GC_filtered,cross_link_heuristic,17158,0,0,0,0,0,0,0,0,100.0000000000,17158,31.4300000000,31.8924186968,37.4815000000,41.0816000000,45.2500000000,0,0.0000000000,2237.0000000000,57.1933333333
P3,supermarket,PC<->VR 状态同步,GC_retained,cross_link_heuristic,17158,0,0,0,0,0,0,0,0,100.0000000000,17158,31.4300000000,31.8924186968,37.4815000000,41.0816000000,45.2500000000,0,0.0000000000,2237.0000000000,57.1933333333
P3,street,EyeTracking→PC,GC_filtered,direct_log,28732,0,0,0,0,915,0,915,0,96.8153974662,27817,2.5300000000,3.6558679944,6.1620000000,24.6688000000,133.2800000000,202,0.7261746414,520.0000000000,92.7233333333
P3,street,EyeTracking→PC,GC_retained,direct_log,28732,0,0,0,0,915,0,0,0,100.0000000000,28732,2.5400000000,5.3110977308,9.4500000000,94.7150000000,241.0500000000,536,1.8655158012,248.0000000000,95.7733333333
P3,street,MoCap→PC,GC_filtered,direct_log,27000,0,0,0,0,858,0,858,0,96.8222222222,26142,8.4100000000,8.4249430036,9.9300000000,10.6000000000,35.6300000000,0,0.0000000000,522.0000000000,87.1400000000
P3,street,MoCap→PC,GC_retained,direct_log,27000,0,0,0,0,858,0,0,0,100.0000000000,27000,8.4200000000,10.1965859259,10.0700000000,88.0712000000,256.3900000000,336,1.2444444444,258.0000000000,90.0000000000
P3,street,MoCap→VR,GC_filtered,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,11.6900000000,13.3479392368,21.3000000000,38.0188000000,267.8000000000,171,0.6335679881,267.0000000000,89.9666666667
P3,street,MoCap→VR,GC_retained,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,11.6900000000,13.3479392368,21.3000000000,38.0188000000,267.8000000000,171,0.6335679881,267.0000000000,89.9666666667
P3,street,PC<->VR 状态同步,GC_filtered,direct_log,17111,0,0,0,0,0,0,0,0,100.0000000000,17111,31.5400000000,32.0524124832,39.0000000000,45.4800000000,56.4300000000,86,0.5026006662,268.0000000000,57.0366666667
P3,street,PC<->VR 状态同步,GC_retained,direct_log,17111,0,0,0,0,0,0,0,0,100.0000000000,17111,31.5400000000,32.0524124832,39.0000000000,45.4800000000,56.4300000000,86,0.5026006662,268.0000000000,57.0366666667
P4,supermarket,EyeTracking→PC,GC_filtered,direct_log,28471,1,1,0,0,1250,0,1250,1,95.6060552843,27220,2.3700000000,2.5616550331,3.7100000000,5.7000000000,69.1500000000,38,0.1396032329,567.0000000000,90.7333333333
P4,supermarket,EyeTracking→PC,GC_retained,direct_log,28471,1,1,0,0,1250,0,0,1,99.9964876541,28470,2.3900000000,5.5338535300,4.2855000000,150.4257000000,290.9100000000,556,1.9529329118,299.0000000000,94.9000000000
P4,supermarket,MoCap→PC,GC_filtered,direct_log,26993,0,0,0,0,1189,0,1189,0,95.5951542993,25804,6.5800000000,6.6650201519,8.4200000000,9.4900000000,27.4800000000,0,0.0000000000,567.0000000000,86.0133333333
P4,supermarket,MoCap→PC,GC_retained,direct_log,26993,0,0,0,0,1189,0,0,0,100.0000000000,26993,6.6100000000,9.8025013892,8.8000000000,159.4024000000,294.9600000000,525,1.9449486904,298.0000000000,89.9766666667
P4,supermarket,MoCap→VR,GC_filtered,direct_log,26991,0,0,0,0,0,0,0,0,100.0000000000,26991,9.3700000000,9.8121773925,13.1850000000,19.5320000000,25.8800000000,0,0.0000000000,32.0000000000,89.9700000000
P4,supermarket,MoCap→VR,GC_retained,direct_log,26991,0,0,0,0,0,0,0,0,100.0000000000,26991,9.3700000000,9.8121773925,13.1850000000,19.5320000000,25.8800000000,0,0.0000000000,32.0000000000,89.9700000000
P4,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,16034,0,0,0,0,0,0,0,0,100.0000000000,16034,31.6900000000,32.2396189348,38.9600000000,43.4500000000,47.8500000000,0,0.0000000000,314.0000000000,53.4466666667
P4,supermarket,PC<->VR 状态同步,GC_retained,direct_log,16034,0,0,0,0,0,0,0,0,100.0000000000,16034,31.6900000000,32.2396189348,38.9600000000,43.4500000000,47.8500000000,0,0.0000000000,314.0000000000,53.4466666667
P4,street,EyeTracking→PC,GC_filtered,direct_log,28933,0,0,0,0,794,0,794,0,97.2557287526,28139,2.2600000000,2.3519488965,3.5300000000,5.3262000000,29.9100000000,0,0.0000000000,669.0000000000,93.7966666667
P4,street,EyeTracking→PC,GC_retained,direct_log,28933,0,0,0,0,794,0,0,0,100.0000000000,28933,2.2700000000,4.2964300280,3.8200000000,81.0200000000,308.5900000000,333,1.1509349186,318.0000000000,96.4433333333
P4,street,MoCap→PC,GC_filtered,direct_log,27000,0,0,0,0,744,0,744,0,97.2444444444,26256,7.5600000000,7.6118464351,9.7200000000,10.5645000000,33.0100000000,0,0.0000000000,689.0000000000,87.5200000000
P4,street,MoCap→PC,GC_retained,direct_log,27000,0,0,0,0,744,0,0,0,100.0000000000,27000,7.5800000000,9.6568888889,9.9000000000,94.0267000000,317.6200000000,332,1.2296296296,319.0000000000,90.0000000000
P4,street,MoCap→VR,GC_filtered,direct_log,26992,0,0,0,0,0,0,0,0,100.0000000000,26992,10.2900000000,10.7021836100,15.8400000000,18.3200000000,25.2600000000,0,0.0000000000,28.0000000000,89.9733333333
P4,street,MoCap→VR,GC_retained,direct_log,26992,0,0,0,0,0,0,0,0,100.0000000000,26992,10.2900000000,10.7021836100,15.8400000000,18.3200000000,25.2600000000,0,0.0000000000,28.0000000000,89.9733333333
P4,street,PC<->VR 状态同步,GC_filtered,direct_log,16707,0,0,0,0,0,0,0,0,100.0000000000,16707,27.4800000000,28.3699437362,34.1370000000,37.4600000000,40.6000000000,0,0.0000000000,551.0000000000,55.6900000000
P4,street,PC<->VR 状态同步,GC_retained,direct_log,16707,0,0,0,0,0,0,0,0,100.0000000000,16707,27.4800000000,28.3699437362,34.1370000000,37.4600000000,40.6000000000,0,0.0000000000,551.0000000000,55.6900000000
P5,supermarket,EyeTracking→PC,GC_filtered,direct_log,28375,0,0,0,0,1333,0,1333,0,95.3022026432,27042,2.2600000000,2.3910372753,3.8200000000,5.6500000000,35.2000000000,0,0.0000000000,554.0000000000,90.1400000000
P5,supermarket,EyeTracking→PC,GC_retained,direct_log,28375,0,0,0,0,1333,0,0,0,100.0000000000,28375,2.2800000000,5.5230096916,4.4900000000,154.0458000000,280.4200000000,549,1.9348017621,288.0000000000,94.5833333333
P5,supermarket,MoCap→PC,GC_filtered,direct_log,27000,0,0,0,0,1278,0,1278,0,95.2666666667,25722,7.4500000000,7.4703254024,9.2900000000,9.9900000000,41.2100000000,0,0.0000000000,557.0000000000,85.7400000000
P5,supermarket,MoCap→PC,GC_retained,direct_log,27000,0,0,0,0,1278,0,0,0,100.0000000000,27000,7.4800000000,10.7681362963,9.6100000000,165.2317000000,292.6300000000,559,2.0703703704,296.0000000000,90.0000000000
P5,supermarket,MoCap→VR,GC_filtered,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,10.1900000000,10.5762445350,14.1400000000,20.3200000000,53.2100000000,2,0.0074101519,54.0000000000,89.9666666667
P5,supermarket,MoCap→VR,GC_retained,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,10.1900000000,10.5762445350,14.1400000000,20.3200000000,53.2100000000,2,0.0074101519,54.0000000000,89.9666666667
P5,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,15948,0,0,0,0,0,0,0,0,100.0000000000,15948,31.2000000000,32.0088268121,37.9300000000,40.6300000000,44.5000000000,0,0.0000000000,1622.0000000000,53.1600000000
P5,supermarket,PC<->VR 状态同步,GC_retained,direct_log,15948,0,0,0,0,0,0,0,0,100.0000000000,15948,31.2000000000,32.0088268121,37.9300000000,40.6300000000,44.5000000000,0,0.0000000000,1622.0000000000,53.1600000000
P5,street,EyeTracking→PC,GC_filtered,direct_log,28778,0,0,0,0,1110,0,1110,0,96.1428869275,27668,2.3200000000,2.5035369380,3.5800000000,5.8833000000,71.2000000000,41,0.1481856296,523.0000000000,92.2266666667
P5,street,EyeTracking→PC,GC_retained,direct_log,28778,0,0,0,0,1110,0,0,0,100.0000000000,28778,2.3300000000,4.6675112933,4.0500000000,109.8711000000,251.1700000000,464,1.6123427618,258.0000000000,95.9266666667
P5,street,MoCap→PC,GC_filtered,direct_log,26996,0,0,0,0,1036,0,1036,0,96.1623944288,25960,9.5900000000,9.6366960709,11.2700000000,12.2041000000,33.1600000000,0,0.0000000000,523.0000000000,86.5333333333
P5,street,MoCap→PC,GC_retained,direct_log,26996,0,0,0,0,1036,0,0,0,100.0000000000,26996,9.6100000000,11.8875259298,11.5100000000,121.5605000000,263.2600000000,422,1.5631945473,263.0000000000,89.9866666667
P5,street,MoCap→VR,GC_filtered,direct_log,26987,0,0,0,0,0,0,0,0,100.0000000000,26987,12.0200000000,12.3288235076,15.3100000000,20.1814000000,29.4500000000,0,0.0000000000,30.0000000000,89.9566666667
P5,street,MoCap→VR,GC_retained,direct_log,26987,0,0,0,0,0,0,0,0,100.0000000000,26987,12.0200000000,12.3288235076,15.3100000000,20.1814000000,29.4500000000,0,0.0000000000,30.0000000000,89.9566666667
P5,street,PC<->VR 状态同步,GC_filtered,direct_log,16758,0,0,0,0,0,0,0,0,100.0000000000,16758,30.2500000000,30.4462728249,35.9000000000,37.8929000000,41.0900000000,0,0.0000000000,287.0000000000,55.8600000000
P5,street,PC<->VR 状态同步,GC_retained,direct_log,16758,0,0,0,0,0,0,0,0,100.0000000000,16758,30.2500000000,30.4462728249,35.9000000000,37.8929000000,41.0900000000,0,0.0000000000,287.0000000000,55.8600000000
P6,supermarket,EyeTracking→PC,GC_filtered,direct_log,28782,0,0,0,0,663,0,663,0,97.6964769648,28119,2.3900000000,2.5253181123,4.0000000000,5.9200000000,27.6400000000,0,0.0000000000,561.0000000000,93.7300000000
P6,supermarket,EyeTracking→PC,GC_retained,direct_log,28782,0,0,0,0,663,0,0,0,100.0000000000,28782,2.4000000000,4.1535515253,4.2700000000,44.5412000000,290.6200000000,283,0.9832534223,299.0000000000,95.9400000000
P6,supermarket,MoCap→PC,GC_filtered,direct_log,26999,0,0,0,0,624,0,624,0,97.6888032890,26375,7.6700000000,7.6947048341,9.5200000000,10.2900000000,33.0300000000,0,0.0000000000,566.0000000000,87.9166666667
P6,supermarket,MoCap→PC,GC_retained,direct_log,26999,0,0,0,0,624,0,0,0,100.0000000000,26999,7.6900000000,9.3897411015,9.6500000000,58.1636000000,299.5000000000,280,1.0370754472,303.0000000000,89.9966666667
P6,supermarket,MoCap→VR,GC_filtered,direct_log,26986,0,0,0,0,0,0,0,0,100.0000000000,26986,10.5500000000,10.9955899355,16.4500000000,18.9215000000,25.7300000000,0,0.0000000000,27.0000000000,89.9533333333
P6,supermarket,MoCap→VR,GC_retained,direct_log,26986,0,0,0,0,0,0,0,0,100.0000000000,26986,10.5500000000,10.9955899355,16.4500000000,18.9215000000,25.7300000000,0,0.0000000000,27.0000000000,89.9533333333
P6,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,16159,0,0,0,0,0,0,0,0,100.0000000000,16159,31.7100000000,31.8789597129,37.2400000000,41.1300000000,44.4900000000,0,0.0000000000,313.0000000000,53.8633333333
P6,supermarket,PC<->VR 状态同步,GC_retained,direct_log,16159,0,0,0,0,0,0,0,0,100.0000000000,16159,31.7100000000,31.8789597129,37.2400000000,41.1300000000,44.4900000000,0,0.0000000000,313.0000000000,53.8633333333
P6,street,EyeTracking→PC,GC_filtered,direct_log,28338,0,0,0,0,761,0,761,0,97.3145599548,27577,2.4100000000,2.5882380244,4.2500000000,6.5500000000,29.5000000000,0,0.0000000000,563.0000000000,91.9233333333
P6,street,EyeTracking→PC,GC_retained,direct_log,28338,0,0,0,0,761,0,0,0,100.0000000000,28338,2.4200000000,4.5608137483,4.5900000000,82.6552000000,292.0000000000,331,1.1680429106,301.0000000000,94.4600000000
P6,street,MoCap→PC,GC_filtered,direct_log,27000,0,0,0,0,732,0,732,0,97.2888888889,26268,7.3700000000,7.4300768996,9.5000000000,10.3700000000,33.3200000000,0,0.0000000000,579.0000000000,87.5600000000
P6,street,MoCap→PC,GC_retained,direct_log,27000,0,0,0,0,732,0,0,0,100.0000000000,27000,7.3900000000,9.5149640741,9.7000000000,97.3096000000,307.7400000000,336,1.2444444444,310.0000000000,90.0000000000
P6,street,MoCap→VR,GC_filtered,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,10.3000000000,10.7308599481,14.9600000000,20.6600000000,39.3800000000,0,0.0000000000,37.0000000000,89.9666666667
P6,street,MoCap→VR,GC_retained,direct_log,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,10.3000000000,10.7308599481,14.9600000000,20.6600000000,39.3800000000,0,0.0000000000,37.0000000000,89.9666666667
P6,street,PC<->VR 状态同步,GC_filtered,direct_log,16307,0,0,0,0,0,0,0,0,100.0000000000,16307,31.6900000000,32.5028527626,38.4000000000,41.0700000000,44.1300000000,0,0.0000000000,323.0000000000,54.3566666667
P6,street,PC<->VR 状态同步,GC_retained,direct_log,16307,0,0,0,0,0,0,0,0,100.0000000000,16307,31.6900000000,32.5028527626,38.4000000000,41.0700000000,44.1300000000,0,0.0000000000,323.0000000000,54.3566666667
P7,supermarket,EyeTracking→PC,GC_filtered,direct_log,28471,0,0,0,0,619,0,619,0,97.8258578905,27852,2.2800000000,2.4828525779,3.9900000000,7.9049000000,25.2500000000,0,0.0000000000,586.0000000000,92.8400000000
P7,supermarket,EyeTracking→PC,GC_retained,direct_log,28471,0,0,0,0,619,0,0,0,100.0000000000,28471,2.2800000000,4.0488844789,4.3300000000,31.6130000000,314.7100000000,266,0.9342840083,323.0000000000,94.9033333333
P7,supermarket,MoCap→PC,GC_filtered,direct_log,26855,0,0,0,0,590,0,590,0,97.8030161981,26265,7.5100000000,7.4975842376,9.1800000000,9.8136000000,26.5500000000,0,0.0000000000,1589.0000000000,87.5500000000
P7,supermarket,MoCap→PC,GC_retained,direct_log,26855,0,0,0,0,590,0,0,0,100.0000000000,26855,7.5200000000,9.1709380004,9.2900000000,50.1114000000,328.9500000000,269,1.0016756656,1589.0000000000,89.5166666667
P7,supermarket,MoCap→VR,GC_filtered,direct_log,26846,0,0,0,0,0,0,0,0,100.0000000000,26846,10.3600000000,10.8105211205,15.7300000000,20.6900000000,50.8800000000,1,0.0037249497,1588.0000000000,89.4866666667
P7,supermarket,MoCap→VR,GC_retained,direct_log,26846,0,0,0,0,0,0,0,0,100.0000000000,26846,10.3600000000,10.8105211205,15.7300000000,20.6900000000,50.8800000000,1,0.0037249497,1588.0000000000,89.4866666667
P7,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,15288,0,0,0,0,0,0,0,0,100.0000000000,15288,31.2000000000,31.6925883046,37.4200000000,40.2900000000,51.3600000000,7,0.0457875458,348.0000000000,50.9600000000
P7,supermarket,PC<->VR 状态同步,GC_retained,direct_log,15288,0,0,0,0,0,0,0,0,100.0000000000,15288,31.2000000000,31.6925883046,37.4200000000,40.2900000000,51.3600000000,7,0.0457875458,348.0000000000,50.9600000000
P7,street,EyeTracking→PC,GC_filtered,direct_log,28874,0,0,0,0,576,0,576,0,98.0051257186,28298,2.4000000000,2.6224167786,3.9100000000,6.3200000000,71.0600000000,39,0.1378189271,582.0000000000,94.3266666667
P7,street,EyeTracking→PC,GC_retained,direct_log,28874,0,0,0,0,576,0,0,0,100.0000000000,28874,2.4100000000,4.1138515620,4.0800000000,50.6142000000,309.0100000000,290,1.0043637875,315.0000000000,96.2466666667
P7,street,MoCap→PC,GC_filtered,direct_log,27001,0,0,0,0,543,0,543,0,97.9889633717,26458,7.3850000000,7.3736892433,9.3100000000,10.0700000000,22.8300000000,0,0.0000000000,590.0000000000,88.1933333333
P7,street,MoCap→PC,GC_retained,direct_log,27001,0,0,0,0,543,0,0,0,100.0000000000,27001,7.4000000000,8.9508155254,9.4300000000,29.7300000000,318.1900000000,250,0.9258916336,321.0000000000,90.0033333333
P7,street,MoCap→VR,GC_filtered,direct_log,26993,0,0,0,0,0,0,0,0,100.0000000000,26993,10.1100000000,10.6173218983,15.9340000000,18.9532000000,117.3700000000,13,0.0481606342,104.0000000000,89.9766666667
P7,street,MoCap→VR,GC_retained,direct_log,26993,0,0,0,0,0,0,0,0,100.0000000000,26993,10.1100000000,10.6173218983,15.9340000000,18.9532000000,117.3700000000,13,0.0481606342,104.0000000000,89.9766666667
P7,street,PC<->VR 状态同步,GC_filtered,direct_log,16607,0,0,0,0,0,0,0,0,100.0000000000,16607,32.4300000000,33.6390112603,42.2100000000,44.7500000000,48.1400000000,0,0.0000000000,320.0000000000,55.3566666667
P7,street,PC<->VR 状态同步,GC_retained,direct_log,16607,0,0,0,0,0,0,0,0,100.0000000000,16607,32.4300000000,33.6390112603,42.2100000000,44.7500000000,48.1400000000,0,0.0000000000,320.0000000000,55.3566666667
P8,supermarket,EyeTracking→PC,GC_filtered,direct_log,28394,0,0,0,0,872,0,872,0,96.9289286469,27522,2.2900000000,2.3911808735,3.6200000000,5.3979000000,15.0000000000,0,0.0000000000,547.0000000000,91.7400000000
P8,supermarket,EyeTracking→PC,GC_retained,direct_log,28394,0,0,0,0,872,0,0,0,100.0000000000,28394,2.3000000000,4.3291075579,3.8300000000,89.1370000000,269.8400000000,352,1.2396985279,279.0000000000,94.6466666667
P8,supermarket,MoCap→PC,GC_filtered,direct_log,26756,0,0,0,0,825,0,825,0,96.9165794588,25931,8.5900000000,8.7833261347,10.3000000000,20.8070000000,26.3800000000,0,0.0000000000,545.0000000000,86.4366666667
