scheme,scene,link,metric,participants_n,median,q1,q3,minimum,maximum,sum
GC_retained,street,EyeTracking→PC,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,99.9894425676,100.0000000000,999.9859767235
GC_retained,street,EyeTracking→PC,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,EyeTracking→PC,gc_window_all_n,10,854.5000000000,622.2500000000,1086.0000000000,404.0000000000,1394.0000000000,8694.0000000000
GC_retained,street,EyeTracking→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.0000000000,4.0000000000
GC_filtered,street,MoCap→PC,median_ms,10,7.4725000000,7.2500000000,8.1225000000,6.5100000000,9.5900000000,76.8450000000
GC_filtered,street,MoCap→PC,p95_ms,10,9.4050000000,8.8550000000,9.8775000000,8.0100000000,11.2700000000,94.3600000000
GC_filtered,street,MoCap→PC,p99_ms,10,10.4672500000,9.9800000000,11.8030750000,8.5300000000,19.6419000000,115.0623000000
GC_filtered,street,MoCap→PC,max_ms,10,26.5700000000,24.8300000000,33.1225000000,22.8300000000,35.6300000000,285.1600000000
GC_filtered,street,MoCap→PC,gt50_pct,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,MoCap→PC,retained_pct,10,97.0333333333,96.2387117060,97.8139447510,95.1433651923,98.5925617646,969.6514223990
GC_filtered,street,MoCap→PC,gc_valid_excluded_n,10,801.0000000000,590.2500000000,1015.0000000000,372.0000000000,1311.0000000000,8178.0000000000
GC_filtered,street,MoCap→PC,gc_window_all_n,10,801.0000000000,590.2500000000,1015.0000000000,372.0000000000,1311.0000000000,8178.0000000000
GC_filtered,street,MoCap→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→PC,median_ms,10,7.4900000000,7.2625000000,8.1350000000,6.5400000000,9.6100000000,77.0300000000
GC_retained,street,MoCap→PC,p95_ms,10,9.5650000000,9.0500000000,10.0275000000,8.2100000000,11.5100000000,96.2700000000
GC_retained,street,MoCap→PC,p99_ms,10,95.6681500000,44.3153000000,119.8266250000,9.7370000000,155.8828000000,874.1956000000
GC_retained,street,MoCap→PC,max_ms,10,268.1950000000,262.3575000000,303.7250000000,256.3900000000,318.1900000000,2813.9700000000
GC_retained,street,MoCap→PC,gt50_pct,10,1.2444444444,1.0018261326,1.5415844378,0.6167000870,2.0671260280,12.9330246539
GC_retained,street,MoCap→PC,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_retained,street,MoCap→PC,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→PC,gc_window_all_n,10,801.0000000000,590.2500000000,1015.0000000000,372.0000000000,1311.0000000000,8178.0000000000
GC_retained,street,MoCap→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,MoCap→VR,median_ms,10,10.2950000000,10.1125000000,10.9900000000,9.4400000000,12.0200000000,105.1300000000
GC_filtered,street,MoCap→VR,p95_ms,10,15.8592500000,15.0475000000,16.6060000000,14.0380000000,21.3000000000,162.3075000000
GC_filtered,street,MoCap→VR,p99_ms,10,19.9761000000,18.4783000000,20.5403500000,18.0477000000,38.0188000000,215.4549000000
GC_filtered,street,MoCap→VR,max_ms,10,38.1400000000,30.4450000000,97.8725000000,25.2600000000,267.8000000000,738.8800000000
