scene,link,bin_seconds,participant,elapsed_s,latency_ms,q1_ms,q3_ms,n_available
supermarket,EyeTracking→PC,1,P1,201.500000,2.100000,,,1
supermarket,EyeTracking→PC,1,P1,202.500000,2.060000,,,1
supermarket,EyeTracking→PC,1,P1,203.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,204.500000,2.080000,,,1
supermarket,EyeTracking→PC,1,P1,205.500000,2.100000,,,1
supermarket,EyeTracking→PC,1,P1,206.500000,2.070000,,,1
supermarket,EyeTracking→PC,1,P1,207.500000,1.940000,,,1
supermarket,EyeTracking→PC,1,P1,208.500000,1.940000,,,1
supermarket,EyeTracking→PC,1,P1,209.500000,1.960000,,,1
supermarket,EyeTracking→PC,1,P1,210.500000,1.900000,,,1
supermarket,EyeTracking→PC,1,P1,211.500000,2.285000,,,1
supermarket,EyeTracking→PC,1,P1,212.500000,2.370000,,,1
supermarket,EyeTracking→PC,1,P1,213.500000,2.295000,,,1
supermarket,EyeTracking→PC,1,P1,214.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P1,215.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P1,216.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P1,217.500000,2.130000,,,1
supermarket,EyeTracking→PC,1,P1,218.500000,2.150000,,,1
supermarket,EyeTracking→PC,1,P1,219.500000,2.055000,,,1
supermarket,EyeTracking→PC,1,P1,220.500000,1.990000,,,1
supermarket,EyeTracking→PC,1,P1,221.500000,2.150000,,,1
supermarket,EyeTracking→PC,1,P1,222.500000,1.930000,,,1
supermarket,EyeTracking→PC,1,P1,223.500000,2.120000,,,1
supermarket,EyeTracking→PC,1,P1,224.500000,2.070000,,,1
supermarket,EyeTracking→PC,1,P1,225.500000,2.080000,,,1
supermarket,EyeTracking→PC,1,P1,226.500000,1.940000,,,1
supermarket,EyeTracking→PC,1,P1,227.500000,1.900000,,,1
supermarket,EyeTracking→PC,1,P1,228.500000,1.805000,,,1
supermarket,EyeTracking→PC,1,P1,229.500000,1.700000,,,1
supermarket,EyeTracking→PC,1,P1,230.500000,1.630000,,,1
supermarket,EyeTracking→PC,1,P1,231.500000,1.970000,,,1
supermarket,EyeTracking→PC,1,P1,232.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P1,233.500000,2.310000,,,1
supermarket,EyeTracking→PC,1,P1,234.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,235.500000,2.520000,,,1
supermarket,EyeTracking→PC,1,P1,236.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,237.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P1,238.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P1,239.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P1,240.500000,2.195000,,,1
supermarket,EyeTracking→PC,1,P1,241.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P1,242.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,243.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P1,244.500000,2.135000,,,1
supermarket,EyeTracking→PC,1,P1,245.500000,2.135000,,,1
supermarket,EyeTracking→PC,1,P1,246.500000,2.170000,,,1
supermarket,EyeTracking→PC,1,P1,247.500000,2.040000,,,1
supermarket,EyeTracking→PC,1,P1,248.500000,2.010000,,,1
supermarket,EyeTracking→PC,1,P1,249.500000,2.040000,,,1
supermarket,EyeTracking→PC,1,P1,250.500000,1.915000,,,1
supermarket,EyeTracking→PC,1,P1,251.500000,1.985000,,,1
supermarket,EyeTracking→PC,1,P1,252.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P1,253.500000,2.025000,,,1
supermarket,EyeTracking→PC,1,P1,254.500000,1.990000,,,1
supermarket,EyeTracking→PC,1,P1,255.500000,2.000000,,,1
supermarket,EyeTracking→PC,1,P1,256.500000,2.000000,,,1
supermarket,EyeTracking→PC,1,P1,257.500000,1.970000,,,1
supermarket,EyeTracking→PC,1,P1,258.500000,1.950000,,,1
supermarket,EyeTracking→PC,1,P1,259.500000,1.810000,,,1
supermarket,EyeTracking→PC,1,P1,260.500000,1.900000,,,1
supermarket,EyeTracking→PC,1,P1,261.500000,2.060000,,,1
supermarket,EyeTracking→PC,1,P1,262.500000,2.460000,,,1
supermarket,EyeTracking→PC,1,P1,263.500000,2.405000,,,1
supermarket,EyeTracking→PC,1,P1,264.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,265.500000,2.210000,,,1
supermarket,EyeTracking→PC,1,P1,266.500000,2.230000,,,1
supermarket,EyeTracking→PC,1,P1,267.500000,2.200000,,,1
supermarket,EyeTracking→PC,1,P1,268.500000,2.230000,,,1
supermarket,EyeTracking→PC,1,P1,269.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P1,270.500000,2.275000,,,1
supermarket,EyeTracking→PC,1,P1,271.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,272.500000,2.590000,,,1
supermarket,EyeTracking→PC,1,P1,273.500000,2.540000,,,1
supermarket,EyeTracking→PC,1,P1,274.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,275.500000,2.350000,,,1
supermarket,EyeTracking→PC,1,P1,276.500000,2.215000,,,1
supermarket,EyeTracking→PC,1,P1,277.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P1,278.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,279.500000,2.320000,,,1
