序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
36,2026-08-21 09:50:56.893,2026-08-21 09:50:56.890,EyeTracking→PC,2.84,0.58,0.00,2.31,22.28,7.33,21.43,22.11,2.84,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,52.7,6.409,6
37,2026-08-21 09:50:56.895,2026-08-21 09:50:56.857,PC<->VR 状态同步,38.36,0.27,0.00,38.03,38.93,38.49,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,53.2,6.409,6
38,2026-08-21 09:50:56.896,2026-08-21 09:50:56.893,MoCap→PC,8.47,0.44,0.00,5.17,9.52,7.32,8.82,9.38,8.47,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
39,2026-08-21 09:50:56.906,2026-08-21 09:50:56.904,MoCap→PC,7.80,0.44,0.00,5.17,9.52,7.33,8.80,9.38,7.80,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
40,2026-08-21 09:50:56.908,2026-08-21 09:50:56.901,EyeTracking→PC,7.24,0.59,0.00,2.31,22.28,7.28,21.39,22.10,7.24,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,67.8,6.409,6
41,2026-08-21 09:50:56.914,2026-08-21 09:50:56.911,EyeTracking→PC,3.16,0.58,0.00,2.31,22.28,7.24,21.34,22.09,3.16,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,73.8,6.409,6
42,2026-08-21 09:50:56.918,2026-08-21 09:50:56.915,MoCap→PC,8.37,0.44,0.00,5.17,9.52,7.38,8.78,9.38,8.37,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
43,2026-08-21 09:50:56.928,2026-08-21 09:50:56.926,MoCap→PC,6.59,0.44,0.00,5.17,9.52,7.33,8.75,9.38,6.59,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
44,2026-08-21 09:50:56.930,2026-08-21 09:50:56.921,EyeTracking→PC,8.52,0.58,0.00,2.31,22.28,7.28,21.16,22.08,8.52,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,88.9,6.409,6
45,2026-08-21 09:50:56.934,2026-08-21 09:50:56.896,PC<->VR 状态同步,38.38,0.24,0.00,38.03,38.93,38.36,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,92.6,6.409,6
46,2026-08-21 09:50:56.939,2026-08-21 09:50:56.932,EyeTracking→PC,7.03,0.59,0.00,2.31,22.28,7.24,20.97,22.07,7.03,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,98.5,6.409,6
47,2026-08-21 09:50:56.940,2026-08-21 09:50:56.938,MoCap→PC,8.46,0.48,0.00,5.17,9.52,7.38,8.73,9.38,8.46,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
48,2026-08-21 09:50:56.944,2026-08-21 09:50:56.906,PC<->VR 状态同步,38.38,0.21,0.00,38.03,38.93,38.37,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,102.1,6.409,6
49,2026-08-21 09:50:56.945,2026-08-21 09:50:56.942,EyeTracking→PC,2.91,0.58,0.00,2.31,22.28,7.13,20.79,22.06,2.91,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,104.0,6.409,6
50,2026-08-21 09:50:56.951,2026-08-21 09:50:56.949,MoCap→PC,7.18,0.44,0.00,5.17,9.52,7.33,8.71,9.37,7.18,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
