序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
92,2026-08-14 21:49:57.677,2026-08-14 21:49:57.676,EyeTracking→PC,1.87,0.46,0.00,0.99,3.89,1.94,3.19,3.68,1.87,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,136.0,1.459,8
93,2026-08-14 21:49:57.681,2026-08-14 21:49:57.674,MoCap→PC,15.73,0.44,0.00,13.01,23.87,17.65,21.12,23.12,15.73,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
94,2026-08-14 21:49:57.688,2026-08-14 21:49:57.686,EyeTracking→PC,2.02,0.46,0.00,0.99,3.89,1.95,3.17,3.68,2.02,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,146.1,1.459,8
95,2026-08-14 21:49:57.693,2026-08-14 21:49:57.685,MoCap→PC,17.65,0.44,0.00,13.01,23.87,17.65,21.11,23.11,17.65,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
96,2026-08-14 21:49:57.699,2026-08-14 21:49:57.697,EyeTracking→PC,2.00,0.48,0.00,0.99,3.89,1.95,3.15,3.67,2.00,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,156.5,1.459,8
97,2026-08-14 21:49:57.704,2026-08-14 21:49:57.696,MoCap→PC,18.70,0.44,0.00,13.01,23.87,17.65,21.10,23.11,18.70,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
98,2026-08-14 21:49:57.709,2026-08-14 21:49:57.707,EyeTracking→PC,2.32,0.46,0.00,0.99,3.89,1.95,3.14,3.67,2.32,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,166.0,1.459,8
99,2026-08-14 21:49:57.716,2026-08-14 21:49:57.707,MoCap→PC,19.69,0.44,0.00,13.01,23.87,17.65,21.09,23.10,19.69,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
100,2026-08-14 21:49:57.719,2026-08-14 21:49:57.717,EyeTracking→PC,2.01,0.46,0.00,0.99,3.89,1.97,3.12,3.66,2.01,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,176.7,1.459,8
101,2026-08-14 21:49:57.729,2026-08-14 21:49:57.718,MoCap→PC,23.07,0.44,0.00,13.01,23.87,17.69,21.19,23.12,23.07,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
102,2026-08-14 21:49:57.729,2026-08-14 21:49:57.728,EyeTracking→PC,1.74,0.48,0.00,0.99,3.89,1.95,3.11,3.66,1.74,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,187.2,1.459,8
103,2026-08-14 21:49:57.738,2026-08-14 21:49:57.730,MoCap→PC,19.92,0.48,0.00,13.01,23.87,17.74,21.19,23.12,19.92,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
