participant,scene,link,scheme,samples_n,ready_n,ready_pct,clock_valid_n,clock_valid_pct,mapping_age_ms_available_n,mapping_age_ms_missing_or_negative_n,mapping_age_ms_median,mapping_age_ms_p95,mapping_age_ms_p99,mapping_age_ms_max,uncertainty_ms_available_n,uncertainty_ms_missing_or_negative_n,uncertainty_ms_median,uncertainty_ms_p95,uncertainty_ms_p99,uncertainty_ms_max,sync_rtt_ms_available_n,sync_rtt_ms_missing_or_negative_n,sync_rtt_ms_median,sync_rtt_ms_p95,sync_rtt_ms_p99,sync_rtt_ms_max
P2,street,PC<->VR 状态同步,GC_filtered,17259,0,0.0000000000,17259,100.0000000000,17259,0,4078.9000000000,8564.3700000000,8963.7840000000,9270.1000000000,17259,0,1.8140000000,1.8950000000,2.2880000000,2.2880000000,17259,0,3.5010000000,3.6660000000,3.7290000000,3.9320000000
P2,street,PC<->VR 状态同步,GC_retained,17259,0,0.0000000000,17259,100.0000000000,17259,0,4078.9000000000,8564.3700000000,8963.7840000000,9270.1000000000,17259,0,1.8140000000,1.8950000000,2.2880000000,2.2880000000,17259,0,3.5010000000,3.6660000000,3.7290000000,3.9320000000
P3,supermarket,EyeTracking→PC,GC_filtered,27464,27464,100.0000000000,27464,100.0000000000,27464,0,4056.5500000000,8528.1100000000,8968.4110000000,9498.3000000000,27464,0,1.9550000000,2.1700000000,2.1870000000,2.4500000000,27464,0,3.6990000000,4.2450000000,4.2470000000,4.2470000000
P3,supermarket,EyeTracking→PC,GC_retained,28564,28564,100.0000000000,28564,100.0000000000,28564,0,4067.2500000000,8567.0700000000,8985.4740000000,9498.3000000000,28564,0,1.9550000000,2.1700000000,2.1870000000,2.4500000000,28564,0,3.7190000000,4.2450000000,4.2470000000,4.2470000000
P3,supermarket,MoCap→PC,GC_filtered,25964,0,0.0000000000,0,0.0000000000,25964,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25964,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25964,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,supermarket,MoCap→PC,GC_retained,27001,0,0.0000000000,0,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,supermarket,MoCap→VR,GC_filtered,26988,0,0.0000000000,0,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,supermarket,MoCap→VR,GC_retained,26988,0,0.0000000000,0,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26988,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,supermarket,PC<->VR 状态同步,GC_filtered,17158,0,0.0000000000,17158,100.0000000000,17158,0,4020.4500000000,8519.5450000000,8959.1020000000,9494.1000000000,17158,0,1.9490000000,2.1700000000,2.1870000000,2.4500000000,17158,0,3.6990000000,4.2450000000,4.2470000000,4.2470000000
P3,supermarket,PC<->VR 状态同步,GC_retained,17158,0,0.0000000000,17158,100.0000000000,17158,0,4020.4500000000,8519.5450000000,8959.1020000000,9494.1000000000,17158,0,1.9490000000,2.1700000000,2.1870000000,2.4500000000,17158,0,3.6990000000,4.2450000000,4.2470000000,4.2470000000
