frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
180,2.000000,-0.024705,0.863765,1.051362,1
181,2.011111,-0.024665,0.863743,1.051406,1
182,2.022222,-0.024611,0.863717,1.051431,1
183,2.033333,-0.024537,0.863678,1.051510,1
184,2.044444,-0.024506,0.863695,1.051539,1
185,2.055556,-0.024510,0.863661,1.051524,1
186,2.066667,-0.024482,0.863680,1.051546,1
187,2.077778,-0.024436,0.863702,1.051578,1
188,2.088889,-0.024364,0.863686,1.051564,1
189,2.100000,-0.024329,0.863678,1.051569,1
190,2.111111,-0.024274,0.863226,1.051150,1
191,2.122222,-0.024234,0.863248,1.051161,1
192,2.133333,-0.024193,0.863213,1.051177,1
193,2.144444,-0.024152,0.863207,1.051198,1
194,2.155556,-0.024036,0.863190,1.051155,1
195,2.166667,-0.023998,0.863183,1.051115,1
196,2.177778,-0.023931,0.863167,1.051095,1
197,2.188889,-0.023920,0.863157,1.051058,1
198,2.200000,-0.023865,0.863192,1.051058,1
199,2.211111,-0.023785,0.863209,1.051013,1
200,2.222222,-0.023751,0.863169,1.051005,1
201,2.233333,-0.023683,0.863112,1.050952,1
202,2.244444,-0.023681,0.863136,1.050936,1
203,2.255556,-0.023624,0.863155,1.050865,1
204,2.266667,-0.023609,0.863129,1.050882,1
205,2.277778,-0.023542,0.863144,1.050831,1
206,2.288889,-0.023510,0.863112,1.050856,1
207,2.300000,-0.023516,0.863065,1.050858,1
208,2.311111,-0.023466,0.863087,1.050822,1
209,2.322222,-0.023402,0.863076,1.050802,1
210,2.333333,-0.023372,0.863086,1.050824,1
211,2.344444,-0.023363,0.863061,1.050853,1
212,2.355556,-0.023290,0.863110,1.050763,1
213,2.366667,-0.023277,0.863035,1.050752,1
214,2.377778,-0.023206,0.863065,1.050718,1
215,2.388889,-0.023211,0.863036,1.050729,1
216,2.400000,-0.023192,0.863050,1.050668,1
217,2.411111,-0.023163,0.863068,1.050661,1
218,2.422222,-0.023190,0.863045,1.050612,1
219,2.433333,-0.023171,0.863057,1.050606,1
220,2.444444,-0.023173,0.863079,1.050566,1
221,2.455556,-0.023193,0.863106,1.050531,1
222,2.466667,-0.023196,0.863125,1.050466,1
223,2.477778,-0.023194,0.863162,1.050430,1
224,2.488889,-0.023202,0.863167,1.050358,1
225,2.500000,-0.023237,0.863153,1.050231,1
226,2.511111,-0.023288,0.863151,1.050211,1
227,2.522222,-0.023365,0.863167,1.050147,1
228,2.533333,-0.023462,0.863166,1.050005,1
229,2.544444,-0.023522,0.863203,1.049879,1
230,2.555556,-0.023649,0.863193,1.049750,1
231,2.566667,-0.023759,0.863146,1.049626,1
232,2.577778,-0.023886,0.863141,1.049508,1
233,2.588889,-0.024010,0.863136,1.049406,1
234,2.600000,-0.024165,0.863145,1.049267,1
235,2.611111,-0.024288,0.863159,1.049120,1
236,2.622222,-0.024459,0.863114,1.048947,1
237,2.633333,-0.024587,0.863124,1.048821,1
