participant,scene,link,scheme,state,samples_n,denominator_n,percent
P8,supermarket,MoCap→PC,GC_retained,<missing>,26756,26756,100.0000000000
P8,supermarket,MoCap→VR,GC_filtered,<missing>,26745,26745,100.0000000000
P8,supermarket,MoCap→VR,GC_retained,<missing>,26745,26745,100.0000000000
P8,supermarket,PC<->VR 状态同步,GC_filtered,Not required,16882,16882,100.0000000000
P8,supermarket,PC<->VR 状态同步,GC_retained,Not required,16882,16882,100.0000000000
P8,street,EyeTracking→PC,GC_filtered,Ready,27838,27838,100.0000000000
P8,street,EyeTracking→PC,GC_retained,Ready,28852,28852,100.0000000000
P8,street,MoCap→PC,GC_filtered,<missing>,25999,25999,100.0000000000
P8,street,MoCap→PC,GC_retained,<missing>,26951,26951,100.0000000000
P8,street,MoCap→VR,GC_filtered,<missing>,26940,26940,100.0000000000
P8,street,MoCap→VR,GC_retained,<missing>,26940,26940,100.0000000000
P8,street,PC<->VR 状态同步,GC_filtered,Not required,16805,16805,100.0000000000
P8,street,PC<->VR 状态同步,GC_retained,Not required,16805,16805,100.0000000000
P9,supermarket,EyeTracking→PC,GC_filtered,Ready,27964,27964,100.0000000000
P9,supermarket,EyeTracking→PC,GC_retained,Ready,28453,28453,100.0000000000
P9,supermarket,MoCap→PC,GC_filtered,<missing>,26139,26139,100.0000000000
P9,supermarket,MoCap→PC,GC_retained,<missing>,26594,26594,100.0000000000
P9,supermarket,MoCap→VR,GC_filtered,<missing>,26585,26585,100.0000000000
P9,supermarket,MoCap→VR,GC_retained,<missing>,26585,26585,100.0000000000
P9,supermarket,PC<->VR 状态同步,GC_filtered,Not required,15719,15719,100.0000000000
P9,supermarket,PC<->VR 状态同步,GC_retained,Not required,15719,15719,100.0000000000
P9,street,EyeTracking→PC,GC_filtered,Ready,28313,28313,100.0000000000
P9,street,EyeTracking→PC,GC_retained,Ready,28853,28853,100.0000000000
P9,street,MoCap→PC,GC_filtered,<missing>,26182,26182,100.0000000000
P9,street,MoCap→PC,GC_retained,<missing>,26683,26683,100.0000000000
P9,street,MoCap→VR,GC_filtered,<missing>,26672,26672,100.0000000000
P9,street,MoCap→VR,GC_retained,<missing>,26672,26672,100.0000000000
P9,street,PC<->VR 状态同步,GC_filtered,Not required,16570,16570,100.0000000000
P9,street,PC<->VR 状态同步,GC_retained,Not required,16570,16570,100.0000000000
P10,supermarket,EyeTracking→PC,GC_filtered,Ready,28023,28023,100.0000000000
P10,supermarket,EyeTracking→PC,GC_retained,Ready,28473,28473,100.0000000000
P10,supermarket,MoCap→PC,GC_filtered,<missing>,26063,26063,100.0000000000
P10,supermarket,MoCap→PC,GC_retained,<missing>,26474,26474,100.0000000000
P10,supermarket,MoCap→VR,GC_filtered,<missing>,26460,26460,100.0000000000
P10,supermarket,MoCap→VR,GC_retained,<missing>,26460,26460,100.0000000000
P10,supermarket,PC<->VR 状态同步,GC_filtered,Not required,16302,16302,100.0000000000
P10,supermarket,PC<->VR 状态同步,GC_retained,Not required,16302,16302,100.0000000000
P10,street,EyeTracking→PC,GC_filtered,Ready,28461,28461,100.0000000000
P10,street,EyeTracking→PC,GC_retained,Ready,28865,28865,100.0000000000
P10,street,MoCap→PC,GC_filtered,<missing>,26059,26059,100.0000000000
P10,street,MoCap→PC,GC_retained,<missing>,26431,26431,100.0000000000
P10,street,MoCap→VR,GC_filtered,<missing>,26424,26424,100.0000000000
P10,street,MoCap→VR,GC_retained,<missing>,26424,26424,100.0000000000
P10,street,PC<->VR 状态同步,GC_filtered,Not required,17285,17285,100.0000000000
P10,street,PC<->VR 状态同步,GC_retained,Not required,17285,17285,100.0000000000
