participant,scene,source,event_id,elapsed_s,nearest_heuristic_delta_ms
P4,supermarket,direct_log,17,194.7990000000,7.0000000000
P4,supermarket,direct_log,18,206.4140000000,5.5000000000
P4,supermarket,direct_log,19,218.1940000000,8.5000000000
P4,supermarket,direct_log,20,229.8760000000,8.0000000000
P4,supermarket,direct_log,21,241.5630000000,13.5000000000
P4,supermarket,direct_log,22,253.2130000000,1.4990000000
P4,supermarket,direct_log,23,264.8610000000,9.0000000000
P4,supermarket,direct_log,24,276.5040000000,6.5000000000
P4,supermarket,direct_log,25,288.2860000000,9.5000000000
P4,street,direct_log,1,14.1950000000,5.0000000000
P4,street,direct_log,2,33.5630000000,11.5000000000
P4,street,direct_log,3,53.0840000000,3.4990000000
P4,street,direct_log,4,72.6200000000,8.0000000000
P4,street,direct_log,5,92.3210000000,12.4990000000
P4,street,direct_log,6,112.0170000000,6.5000000000
P4,street,direct_log,7,131.4950000000,8.0000000000
P4,street,direct_log,8,151.4420000000,9.4990000000
P4,street,direct_log,9,171.1460000000,8.0000000000
P4,street,direct_log,10,190.7670000000,11.5000000000
P4,street,direct_log,11,210.7610000000,11.4990000000
P4,street,direct_log,12,230.9440000000,158.0000000000
P4,street,direct_log,13,251.3880000000,8.5000000000
P4,street,direct_log,14,270.9100000000,0.4990000000
P4,street,direct_log,15,290.5680000000,6.0000000000
P5,supermarket,direct_log,1,0.2900000000,21.5000000000
P5,supermarket,direct_log,2,12.8920000000,7.0000000000
P5,supermarket,direct_log,3,24.1400000000,7.5000000000
P5,supermarket,direct_log,4,35.4750000000,6.5000000000
P5,supermarket,direct_log,5,46.8860000000,0.0010000000
P5,supermarket,direct_log,6,58.2500000000,0.0010000000
P5,supermarket,direct_log,7,69.5760000000,12.5000000000
P5,supermarket,direct_log,8,80.9560000000,6.4990000000
P5,supermarket,direct_log,9,92.4050000000,8.0000000000
P5,supermarket,direct_log,10,103.8350000000,8.4990000000
P5,supermarket,direct_log,11,115.1710000000,11.5000000000
P5,supermarket,direct_log,12,126.6020000000,7.2490000000
P5,supermarket,direct_log,13,137.9810000000,3.9990000000
P5,supermarket,direct_log,14,149.3160000000,8.0000000000
P5,supermarket,direct_log,15,160.6890000000,6.9990000000
P5,supermarket,direct_log,16,172.0950000000,8.0000000000
P5,supermarket,direct_log,17,183.4550000000,11.0000000000
P5,supermarket,direct_log,18,194.8620000000,11.4990000000
P5,supermarket,direct_log,19,206.2210000000,7.4990000000
P5,supermarket,direct_log,20,217.5830000000,9.4990000000
P5,supermarket,direct_log,21,228.9630000000,7.0000000000
P5,supermarket,direct_log,22,240.3170000000,1.5000000000
P5,supermarket,direct_log,23,251.7580000000,9.5000000000
P5,supermarket,direct_log,24,263.1520000000,11.0000000000
